Date,Time,ms,LEVEL,TEMPERATURE,source_file,Date_clean,Time_clean,datetime
11/29/2023,3:49:01 PM,0,-1,20.8,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,3:49:01 PM,11/29/2023 15:49
11/29/2023,4:19:01 PM,0,18.4,18.7,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,4:19:01 PM,11/29/2023 16:19
11/29/2023,4:49:01 PM,0,18.4,18.8,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,4:49:01 PM,11/29/2023 16:49
11/29/2023,5:19:01 PM,0,18.7,18.9,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,5:19:01 PM,11/29/2023 17:19
11/29/2023,5:49:01 PM,0,18.5,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,5:49:01 PM,11/29/2023 17:49
11/29/2023,6:19:01 PM,0,18.4,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,6:19:01 PM,11/29/2023 18:19
11/29/2023,6:49:01 PM,0,18.1,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,6:49:01 PM,11/29/2023 18:49
11/29/2023,7:19:01 PM,0,18.4,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,7:19:01 PM,11/29/2023 19:19
11/29/2023,7:49:01 PM,0,18.1,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,7:49:01 PM,11/29/2023 19:49
11/29/2023,8:19:01 PM,0,17.7,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,8:19:01 PM,11/29/2023 20:19
11/29/2023,8:49:01 PM,0,18.3,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,8:49:01 PM,11/29/2023 20:49
11/29/2023,9:19:01 PM,0,18.2,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,9:19:01 PM,11/29/2023 21:19
11/29/2023,9:49:01 PM,0,17.8,18.9,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,9:49:01 PM,11/29/2023 21:49
11/29/2023,10:19:01 PM,0,17.9,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,10:19:01 PM,11/29/2023 22:19
11/29/2023,10:49:01 PM,0,18.1,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,10:49:01 PM,11/29/2023 22:49
11/29/2023,11:19:01 PM,0,18.1,19.1,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,11:19:01 PM,11/29/2023 23:19
11/29/2023,11:49:01 PM,0,18,19.1,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/29/2023,11:49:01 PM,11/29/2023 23:49
11/30/2023,12:19:01 AM,0,17.9,19.2,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/30/2023,12:19:01 AM,11/30/2023 0:19
11/30/2023,12:49:01 AM,0,18,19.2,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/30/2023,12:49:01 AM,11/30/2023 0:49
11/30/2023,1:19:01 AM,0,17.6,19,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/30/2023,1:19:01 AM,11/30/2023 1:19
11/30/2023,1:49:01 AM,0,17.7,18.9,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/30/2023,1:49:01 AM,11/30/2023 1:49
11/30/2023,2:19:01 AM,0,17.9,18.8,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/30/2023,2:19:01 AM,11/30/2023 2:19
11/30/2023,2:49:01 AM,0,17.9,18.7,WS_SPRC_02_h2ohio_wll08_20231129_20250310.csv,11/30/2023,2:49:01 AM,11/30/2023 2:49
