Date,Time,ms,LEVEL,TEMPERATURE,source_file,Date_clean,Time_clean,datetime
3/10/2025,2:59:56 PM,0,0.015,22.7,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,2:59:56 PM,3/10/2025 14:59
3/10/2025,3:29:56 PM,0,1.302,9.3,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,3:29:56 PM,3/10/2025 15:29
3/10/2025,3:59:56 PM,0,1.305,8.8,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,3:59:56 PM,3/10/2025 15:59
3/10/2025,4:29:56 PM,0,1.305,8.8,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,4:29:56 PM,3/10/2025 16:29
3/10/2025,4:59:56 PM,0,1.305,8.8,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,4:59:56 PM,3/10/2025 16:59
3/10/2025,5:29:56 PM,0,1.309,8.8,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,5:29:56 PM,3/10/2025 17:29
3/10/2025,5:59:56 PM,0,1.307,8.9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,5:59:56 PM,3/10/2025 17:59
3/10/2025,6:29:56 PM,0,1.304,8.9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,6:29:56 PM,3/10/2025 18:29
3/10/2025,6:59:56 PM,0,1.303,8.9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,6:59:56 PM,3/10/2025 18:59
3/10/2025,7:29:56 PM,0,1.304,8.9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,7:29:56 PM,3/10/2025 19:29
3/10/2025,7:59:56 PM,0,1.309,8.9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,7:59:56 PM,3/10/2025 19:59
3/10/2025,8:29:56 PM,0,1.309,9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,8:29:56 PM,3/10/2025 20:29
3/10/2025,8:59:56 PM,0,1.308,9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,8:59:56 PM,3/10/2025 20:59
3/10/2025,9:29:56 PM,0,1.307,9,WS_SPRC_02_h2ohio_wll26_20250310_20250616.csv,3/10/2025,9:29:56 PM,3/10/2025 21:29
